"Timestamp","What is your gender?","What is your age?","Do you play video games or have you ever played video games?","How frequent do you now or in the past are you used to play video games?","What type of device do you use to play video games?","What genres of video games do you prefer playing?","For fun and enjoyment","To feel competent","To escape from daily routine/to have a break","To improve my skills and education","For fitness","To be part of a community","To be a professional gamer, for e-sports","Because it is challenging and rewarding","To socialize"
"2018/05/21 7:00:14 pm EET","Female","18-24","Yes","Less than 3 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Puzzle;Adventure;Role-playing;Logic game","7","5","5","3","3","4","1","3","3"
"2018/05/21 7:01:06 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Adventure;Strategy;Role-playing;Sports;Music, dance or party;Board or card game;Educational;Logic game","7","4","7","5","4","3","1","6","5"
"2018/05/21 7:06:45 pm EET","Female","18-24","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Strategy;Logic game","6","3","6","2","1","1","1","1","1"
"2018/05/21 7:09:17 pm EET","Male","18-24","Yes","3-5 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Strategy","7","4","7","5","4","4","1","3","2"
"2018/05/21 7:09:41 pm EET","Female","18-24","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Role-playing;Music, dance or party;Educational","7","1","7","3","3","1","1","1","3"
"2018/05/21 7:10:05 pm EET","Female","18-24","Yes","6-9 hours a week","Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action;Adventure;Music, dance or party;Board or card game","7","3","7","2","2","2","2","5","3"
"2018/05/21 7:10:17 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Logic game","5","1","4","1","1","1","1","4","1"
"2018/05/21 7:10:46 pm EET","Female","18-24","No","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Role-playing;Music, dance or party","5","5","6","6","4","6","6","6","6"
"2018/05/21 7:12:27 pm EET","Female","18-24","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure","5","3","2","2","1","1","1","3","1"
"2018/05/21 7:12:27 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Arcade;Simulation;Puzzle;Action;Adventure","3","6","5","3","5","5","5","6","1"
"2018/05/21 7:15:01 pm EET","Female","18-24","Yes","3-5 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Role-playing;Action-RPG","7","4","6","4","1","3","1","5","2"
"2018/05/21 7:15:45 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Simulation","4","3","4","4","5","7","1","1","7"
"2018/05/21 7:15:55 pm EET","Male","25-29","Yes","6-9 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Role-playing","7","1","7","1","1","1","1","2","1"
"2018/05/21 7:19:53 pm EET","Female","18-24","No","Less than 3 hours a week","Smartphone","Simulation;Role-playing;Music, dance or party","6","5","3","5","2","7","2","4","5"
"2018/05/21 7:24:24 pm EET","Female","18-24","Yes","6-9 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Strategy;Board or card game;Logic game","5","5","6","3","1","2","1","5","1"
"2018/05/21 7:29:16 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Simulation","7","4","5","3","1","5","4","4","6"
"2018/05/21 7:29:56 pm EET","Female","18-24","No","Less than 3 hours a week","Smartphone","Music, dance or party;Logic game","7","1","4","1","1","1","1","1","1"
"2018/05/21 7:33:47 pm EET","Male","25-29","Yes","3-5 hours a week","Smartphone","Horror","6","1","1","1","1","7","7","7","7"
"2018/05/21 7:35:40 pm EET","Female","18-24","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Role-playing;Music, dance or party","5","6","5","4","4","4","1","4","2"
"2018/05/21 7:37:40 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Simulation;Puzzle;Role-playing;Board or card game;Educational;Logic game","7","4","7","2","5","1","1","3","1"
"2018/05/21 7:40:12 pm EET","Female","25-29","Yes","3-5 hours a week","Smartphone","Simulation;Puzzle","7","4","7","2","2","2","2","2","2"
