,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
450,Female,18-24,15-19 hours a week,PC/Laptop,Simulation;MMO;Role-playing,6,2,6,5,1,5,1,5,6
451,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Action;Sports;Music, dance or party",7,1,4,2,3,2,1,2,2
452,Female,18-24,10-14 hours a week,Smartphone,"Arcade;Simulation;Puzzle;Adventure;Strategy;Role-playing;Music, dance or party;Board or card game;Educational;Logic game",4,3,6,5,6,3,1,5,1
453,Female,18-24,Less than 3 hours a week,Smartphone,"Adventure;Music, dance or party",6,5,7,3,2,1,1,3,2
454,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Action;Adventure;Strategy;Role-playing;Sports;Music, dance or party;Logic game",7,7,7,7,7,7,7,7,7
455,Male,18-24,20 hours or more a week,PC/Laptop,FPS,5,7,4,6,3,4,6,7,4
456,Female,18-24,Less than 3 hours a week,Smartphone,Arcade;Board or card game,7,1,4,1,1,1,1,1,1
457,Female,30-34,Less than 3 hours a week,PC/Laptop,Puzzle;Role-playing,7,1,7,1,1,1,1,6,1
458,Female,25-29,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;Adventure,6,1,7,1,1,1,1,5,1
459,Female,18-24,Less than 3 hours a week,Smartphone,"Arcade;Simulation;Strategy;Role-playing;Music, dance or party",4,1,1,1,1,2,1,4,1
460,Female,18-24,Less than 3 hours a week,Smartphone,Logic game,4,1,5,1,1,1,1,1,1
461,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Role-playing;Racing;Sports;Board or card game,7,4,5,3,1,4,1,3,4
462,Female,18-24,6-9 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Strategy;Sports;Music, dance or party;Logic game",5,6,3,3,1,1,1,5,1
463,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;Logic game,7,1,3,1,1,1,1,1,1
464,Female,18-24,10-14 hours a week,Smartphone;PC/Laptop,Arcade;MMO;Strategy;Role-playing,7,5,6,4,3,2,3,3,1
465,Female,18-24,Less than 3 hours a week,Smartphone,"Arcade;Adventure;Strategy;Music, dance or party",5,2,5,3,2,2,2,6,2
466,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Puzzle;Action;Adventure;MMO;Strategy;Role-playing;Music, dance or party;Board or card game;Logic game",7,5,6,5,1,6,3,5,6
467,Female,18-24,Less than 3 hours a week,Smartphone,Simulation;Adventure,6,1,7,1,1,4,1,2,1
468,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Strategy,5,1,1,1,1,1,1,2,1
469,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Puzzle;Action;Adventure;MMO;Strategy;Role-playing;Music, dance or party;Board or card game;Logic game",7,6,7,4,1,5,4,5,6
470,Male,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Strategy,7,3,5,5,1,5,1,4,1
471,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Puzzle;Music, dance or party;Logic game",5,6,5,5,4,6,3,4,7
472,Female,18-24,15-19 hours a week,Smartphone,Arcade;Simulation;Action;Adventure,7,2,7,2,1,1,2,5,6
473,Female,18-24,Less than 3 hours a week,Smartphone,Logic game,3,4,5,2,2,3,4,2,6
474,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,1,5,3,1,1,1,1,1
