,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
47,Female,25-29,15-19 hours a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;Strategy;Role-playing;Racing,5,5,7,4,2,4,1,4,4
49,Male,>45,3-5 hours a week,PC/Laptop,MMO;Strategy;Role-playing,6,5,7,3,1,1,1,5,1
50,Male,18-24,10-14 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Retrogaming console;Arcade",Arcade;Simulation;Action;Adventure;MMO;Racing;Logic game,7,7,7,7,5,7,7,7,7
51,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Adventure;Strategy;Logic game,7,4,7,2,1,1,1,1,3
52,Male,18-24,20 hours or more a week,PC/Laptop,Arcade;Simulation;Puzzle;Action;Adventure;MMO;Strategy;Role-playing;Racing;Board or card game;Logic game,7,7,3,7,5,5,7,7,5
53,Female,25-29,Less than 3 hours a week,Smartphone,Puzzle;Logic game,7,6,6,4,1,4,1,5,4
54,Male,30-34,20 hours or more a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Puzzle;Action;Adventure;Strategy;Role-playing;Racing;Board or card game;Logic game,7,7,7,1,1,7,1,7,6
55,Male,25-29,10-14 hours a week,PC/Laptop,Arcade;Action;Adventure;MMO;Strategy;Racing;Sports,7,3,6,3,3,4,1,4,3
56,Male,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,7,1,5,1,1,2,1,5,1
58,Female,18-24,3-5 hours a week,Smartphone,Arcade;Simulation;Puzzle;Strategy;Role-playing;Educational;Logic game,6,3,4,5,4,1,1,1,1
60,Male,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;Role-playing,7,6,4,4,3,5,5,6,5
61,Male,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,6,5,3,4,3,3,3,4,6
62,Male,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;MMO;Strategy;Role-playing;Racing;Sports,7,5,6,4,2,2,1,4,3
64,Female,>45,20 hours or more a week,Smartphone,Simulation,7,1,7,1,1,1,1,7,1
66,Male,30-34,Less than 3 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Adventure;Role-playing;Sports,5,4,3,3,2,3,3,2,1
67,Female,35-39,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Puzzle;Strategy;Logic game,7,1,5,1,1,1,1,1,1
68,Female,25-29,Less than 3 hours a week,Smartphone,Arcade;Simulation;Puzzle;Logic game,5,3,7,4,1,1,1,3,1
69,Female,18-24,Less than 3 hours a week,PC/Laptop,Strategy,7,3,4,4,3,3,3,3,4
70,Male,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,6,5,6,4,3,1,1,2,1
71,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Racing;Sports,7,1,4,1,3,1,1,1,1
72,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Sports,7,4,5,3,1,3,1,5,3
73,Female,18-24,20 hours or more a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Adventure;MMO;Strategy;Role-playing;Racing,7,6,5,5,1,6,5,5,6
74,Male,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Racing;Sports,6,6,6,6,5,6,6,6,6
75,Male,>45,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Racing,5,3,6,4,6,3,1,5,4
76,Male,18-24,3-5 hours a week,Smartphone;PC/Laptop,Simulation;Action;Adventure;MMO;Strategy;Role-playing;Board or card game,7,4,6,4,2,7,2,7,7
77,Male,18-24,Less than 3 hours a week,PC/Laptop,Arcade;Strategy,7,3,2,3,1,3,1,7,4
78,Female,40-45,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Racing,7,1,3,1,1,1,1,1,1
79,Male,25-29,Less than 3 hours a week,PC/Laptop,Arcade;Adventure;Strategy,6,4,5,3,3,3,2,5,1
80,Female,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Role-playing;Sports,6,4,7,5,4,3,3,4,1
81,Male,25-29,20 hours or more a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Puzzle;Action;Racing;Sports,7,5,5,7,4,3,4,7,3
82,Male,25-29,10-14 hours a week,PC/Laptop,Simulation;Adventure;Strategy;Role-playing,5,5,6,4,1,2,3,6,1
83,Male,30-34,Less than 3 hours a week,PC/Laptop,Sports,6,6,6,3,3,2,2,4,6
84,Female,30-34,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Puzzle;Sports,6,6,2,1,1,1,1,6,3
85,Male,30-34,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,6,4,5,1,1,1,1,4,4
86,Male,25-29,Less than 3 hours a week,Smartphone,Strategy,6,5,6,3,1,2,1,3,2
87,Male,25-29,3-5 hours a week,PC/Laptop,Role-playing,6,2,5,2,2,4,1,6,5
88,Male,18-24,15-19 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Role-playing;Board or card game,7,7,1,7,1,7,7,7,4
89,Female,18-24,3-5 hours a week,PC/Laptop,Simulation,6,1,2,4,1,1,1,1,1
90,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Racing;Sports;Music, dance or party;Logic game",7,3,4,1,1,1,1,1,3
91,Male,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,7,3,7,1,1,1,1,5,1
92,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Strategy;Racing,7,4,2,2,2,2,1,5,2
93,Female,30-34,3-5 hours a week,Smartphone,Board or card game,5,2,5,1,1,1,1,5,1
94,Female,18-24,Less than 3 hours a week,Smartphone,Puzzle;Racing;Logic game,4,1,2,1,1,2,1,3,2
95,Male,18-24,3-5 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Adventure;Racing;Sports;Music, dance or party;Board or card game",6,3,5,1,1,1,1,4,2
96,Female,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action,6,4,3,1,1,1,1,4,2
97,Female,18-24,3-5 hours a week,Smartphone,Simulation;Strategy;Logic game,6,3,6,2,1,2,1,3,2
98,Male,18-24,15-19 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing,6,4,6,7,1,3,2,5,2
99,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Strategy;Role-playing;Music, dance or party;Educational;Logic game",7,5,7,7,5,5,5,7,5
100,Female,25-29,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Puzzle;Adventure;MMO;Strategy;Role-playing;Music, dance or party;Logic game",6,5,6,6,6,6,4,6,6
101,Female,30-34,Less than 3 hours a week,PC/Laptop,Role-playing,4,3,5,3,2,1,1,2,1
102,Female,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure,6,6,7,5,5,6,4,4,6
103,Male,18-24,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Racing,7,4,5,4,1,2,2,2,2
104,Female,18-24,15-19 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Strategy;Role-playing,7,3,5,5,2,4,1,4,4
105,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Role-playing,7,2,7,1,1,1,1,2,1
106,Female,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Logic game,7,3,2,5,2,5,1,7,3
108,Female,18-24,15-19 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Role-playing,6,7,5,6,6,6,6,6,6
109,Female,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing,7,6,7,6,1,4,1,3,4
110,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Logic game,7,2,7,1,1,4,1,4,2
111,Male,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Sports,7,4,5,3,3,1,1,1,1
112,Female,30-34,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Racing;Sports;Music, dance or party",6,4,5,4,4,4,4,5,6
113,Female,18-24,Less than 3 hours a week,PC/Laptop,Puzzle;Adventure;Role-playing;Logic game,7,2,5,5,1,1,1,4,1
114,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;MMO;Role-playing,6,3,7,2,2,3,1,4,4
115,Female,25-29,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Puzzle;Strategy;Role-playing;Music, dance or party;Logic game",7,1,5,1,1,1,1,1,1
117,Female,18-24,3-5 hours a week,Smartphone,Simulation;Strategy;Role-playing;Logic game,4,4,4,4,4,4,4,4,4
118,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Puzzle;Adventure;Sports;Music, dance or party",7,5,6,5,5,3,1,3,3
119,Female,18-24,Less than 3 hours a week,Smartphone,Puzzle;Adventure;Strategy;Logic game,5,4,5,4,1,4,1,3,4
120,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Role-playing;Board or card game,7,3,6,2,4,2,3,4,2
122,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Role-playing;Sports;Music, dance or party",4,1,6,1,1,1,1,2,1
124,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Adventure;Logic game,7,4,6,3,3,3,1,4,4
125,Female,18-24,Less than 3 hours a week,PC/Laptop,"Arcade;Music, dance or party",4,4,6,3,3,2,1,3,1
126,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Logic game,4,4,4,3,5,5,2,3,2
127,Female,18-24,Less than 3 hours a week,Smartphone;Nintendo ,"Music, dance or party",5,2,3,4,1,1,1,2,4
128,Female,18-24,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Music, dance or party",4,2,2,4,3,2,1,1,1
129,Female,25-29,Less than 3 hours a week,PC/Laptop,Simulation,7,1,6,4,1,1,1,6,4
130,Female,18-24,3-5 hours a week,PC/Laptop,Simulation;Adventure;Role-playing;Educational,7,1,7,1,1,1,1,4,1
131,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade",Adventure;Logic game,7,4,1,7,1,1,1,4,1
132,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Adventure,6,4,5,4,3,4,3,2,3
133,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;Adventure;Sports,6,7,7,7,1,1,1,7,7
135,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Adventure,3,1,2,1,1,3,1,3,3
136,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Strategy,4,1,1,1,3,1,1,3,1
137,Female,18-24,3-5 hours a week,Smartphone;PC/Laptop,Arcade;Adventure;Strategy;Racing,7,5,6,1,1,1,1,3,4
138,Female,25-29,Less than 3 hours a week,Smartphone,"Music, dance or party",7,3,4,6,3,7,1,1,1
139,Female,18-24,3-5 hours a week,PC/Laptop,Arcade;Simulation;Logic game,7,4,6,6,1,1,1,3,1
140,Female,18-24,3-5 hours a week,PC/Laptop,Action;Adventure;Strategy,7,3,5,4,1,4,2,5,5
141,Female,18-24,3-5 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Role-playing,7,5,6,3,1,4,1,6,3
142,Female,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation,7,3,4,7,3,3,1,1,1
143,Female,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Puzzle;Action;Adventure;Role-playing,7,1,5,1,1,1,1,1,1
144,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Role-playing;Music, dance or party;Logic game",7,4,7,4,1,1,1,4,1
145,Female,18-24,3-5 hours a week,PC/Laptop,Arcade;Simulation,7,1,1,1,1,1,1,1,1
146,Female,25-29,10-14 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Role-playing;Racing;Logic game,7,4,6,5,1,1,1,7,2
147,Female,18-24,3-5 hours a week,PC/Laptop,Arcade;Simulation;Board or card game,7,5,5,3,1,1,1,6,1
148,Female,18-24,Less than 3 hours a week,Smartphone,Role-playing,1,1,3,1,1,1,1,1,1
149,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure,3,5,5,2,1,3,3,3,3
150,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Arcade;Simulation;Role-playing;Board or card game,6,3,6,2,1,1,1,6,1
151,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Sports;Music, dance or party",5,2,2,2,2,4,1,2,1
152,Male,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Action;Adventure,7,7,6,7,4,7,7,7,7
153,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Adventure;MMO;Strategy;Racing,7,2,6,5,1,1,1,7,1
154,Female,18-24,3-5 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Role-playing,4,1,2,1,1,1,1,1,1
155,Male,18-24,6-9 hours a week,PC/Laptop,Arcade;Simulation;Adventure,7,4,7,2,1,6,1,6,7
156,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Strategy;Role-playing;Educational;Logic game,6,4,7,6,3,2,2,5,1
157,Female,18-24,3-5 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Adventure;MMO;Role-playing,6,1,6,4,1,1,1,1,2
158,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Role-playing,6,6,7,4,1,2,1,7,5
160,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Role-playing;Music, dance or party",5,3,4,2,1,1,3,2,1
162,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Strategy;Sports;Logic game,7,4,4,4,3,1,1,5,1
163,Female,18-24,20 hours or more a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action,5,3,4,3,1,4,1,3,5
164,Male,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Action;Adventure;Sports;Music, dance or party;Logic game",6,1,3,4,3,4,2,5,4
165,Female,25-29,3-5 hours a week,Smartphone,Logic game,3,3,3,3,3,3,3,3,3
166,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Puzzle;Music, dance or party;Board or card game;Logic game",7,5,5,3,1,2,1,5,2
167,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Puzzle;Board or card game;Logic game,7,1,6,1,1,1,1,4,1
168,Male,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Racing;Sports,7,2,6,4,1,3,5,5,1
169,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Action;Adventure;Strategy,6,5,7,4,2,1,4,1,2
170,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Music, dance or party",7,6,3,3,5,2,1,3,1
172,Female,18-24,6-9 hours a week,Smartphone,Simulation;Adventure;Strategy;Role-playing,6,1,6,4,1,5,1,6,4
175,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Role-playing;Sports;Music, dance or party;Logic game",6,5,7,6,5,5,5,5,6
176,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Tablet",Simulation;Adventure;Strategy;Role-playing,7,2,2,2,1,1,1,1,1
177,Female,18-24,3-5 hours a week,Smartphone,Arcade;Action;Adventure,7,3,4,1,1,1,1,2,1
178,Female,25-29,Less than 3 hours a week,Smartphone,Strategy,6,4,3,1,1,1,1,1,1
179,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Music, dance or party",5,1,3,1,1,1,1,4,1
180,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Strategy;Role-playing,7,2,7,3,1,5,1,5,1
181,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Racing;Logic game,7,5,7,5,3,3,1,5,2
182,Female,25-29,3-5 hours a week,PC/Laptop,Arcade;Strategy,6,3,5,3,1,1,1,5,1
183,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Puzzle;Adventure;MMO;Role-playing,6,4,7,3,1,6,1,6,4
184,Female,18-24,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;Strategy;Role-playing,7,3,3,1,1,2,1,1,1
185,Female,18-24,Less than 3 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Action;Adventure;Role-playing;Sports;Music, dance or party;Board or card game",7,3,4,3,1,1,1,3,1
186,Female,18-24,Less than 3 hours a week,Smartphone,Logic game,1,1,1,1,1,1,1,1,1
187,Female,25-29,15-19 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;Strategy;Logic game,7,4,7,7,1,5,1,7,5
189,Female,18-24,3-5 hours a week,PC/Laptop,Simulation,4,4,5,1,1,1,1,1,1
190,Male,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;Adventure;Strategy;Role-playing;Racing;Sports;Logic game,7,3,5,2,1,1,1,3,3
191,Female,18-24,Less than 3 hours a week,Smartphone,Strategy;Role-playing,4,4,4,4,3,2,2,2,3
192,Male,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Adventure;MMO;Strategy;Role-playing;Logic game,5,4,2,5,1,1,1,4,3
193,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Adventure;Sports,2,5,4,7,4,6,6,4,7
194,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Music, dance or party;Educational",3,5,1,5,1,4,4,5,4
195,Female,18-24,Less than 3 hours a week,Smartphone,Adventure;Racing,4,2,4,2,1,1,1,1,1
196,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Adventure;Sports;Music, dance or party",7,1,5,1,1,1,1,1,3
197,Female,18-24,3-5 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Role-playing;Sports;Board or card game;Logic game,6,2,5,2,4,1,1,2,2
198,Male,25-29,20 hours or more a week,Smartphone;PC/Laptop,MMO,7,7,7,7,4,7,2,7,7
199,Male,18-24,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;MMO;Strategy;Racing,7,1,5,1,1,3,1,5,6
200,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure,7,3,2,4,1,6,1,3,7
201,Male,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Strategy;Sports,6,4,6,5,1,1,1,1,1
202,Female,18-24,20 hours or more a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Role-playing;Music, dance or party;Logic game",7,5,6,3,2,2,2,4,5
203,Female,25-29,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Sports,4,3,4,3,5,3,4,5,3
204,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Music, dance or party",5,3,5,3,5,1,1,1,1
205,Female,18-24,3-5 hours a week,Smartphone;PC/Laptop,Arcade;Simulation;Puzzle;Action;Adventure;Sports,5,4,5,4,3,3,1,2,1
206,Male,18-24,20 hours or more a week,"Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Strategy;Role-playing;Board or card game,7,5,7,1,1,2,3,7,5
207,Female,18-24,3-5 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Music, dance or party",5,1,3,1,6,1,1,1,1
208,Male,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Sports,7,1,4,1,1,2,1,1,2
209,Male,18-24,20 hours or more a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing,7,4,6,2,1,1,1,4,1
210,Female,25-29,Less than 3 hours a week,Smartphone,Arcade,5,4,7,4,3,5,2,4,5
211,Male,18-24,Less than 3 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Sports,7,5,5,5,1,5,4,4,5
212,Male,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,7,2,4,3,1,1,1,3,2
214,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade","Simulation;Puzzle;Action;Strategy;Role-playing;Music, dance or party;Educational;Logic game",7,2,6,6,1,5,1,1,4
215,Female,30-34,Less than 3 hours a week,Smartphone,Puzzle;Logic game,4,2,7,1,1,1,1,1,1
216,Female,18-24,3-5 hours a week,Smartphone,Simulation,7,4,6,7,3,1,1,3,1
217,Female,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Puzzle;Role-playing;Music, dance or party;Board or card game;Logic game",3,4,6,3,6,1,3,4,1
218,Female,25-29,Less than 3 hours a week,Smartphone;PC/Laptop,Adventure;Strategy;Racing,6,5,6,5,4,6,1,4,6
219,Female,18-24,10-14 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Adventure;Logic game,7,1,7,2,1,1,1,2,1
220,Male,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Adventure;Role-playing;Racing;Sports,7,2,7,7,2,5,4,4,4
