,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
724,10-14 hours a week,6,5,6,4,1,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
725,Less than 3 hours a week,7,1,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
726,3-5 hours a week,7,3,5,1,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
727,Less than 3 hours a week,6,2,2,3,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
729,3-5 hours a week,7,4,6,4,1,5,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
730,Less than 3 hours a week,7,1,5,1,1,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
731,3-5 hours a week,7,2,7,4,1,5,1,3,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
734,Less than 3 hours a week,4,2,6,6,1,3,2,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
735,Less than 3 hours a week,3,3,4,1,1,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
736,Less than 3 hours a week,6,5,7,5,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
737,Less than 3 hours a week,6,6,4,5,5,7,5,6,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
738,Less than 3 hours a week,5,2,1,4,1,2,1,6,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
739,3-5 hours a week,6,5,7,6,4,4,3,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
740,6-9 hours a week,7,7,6,4,3,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
745,Less than 3 hours a week,6,3,6,4,4,4,3,4,5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
748,6-9 hours a week,7,6,7,6,5,7,5,5,7,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
752,3-5 hours a week,4,2,3,2,1,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
753,Less than 3 hours a week,4,2,7,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
754,Less than 3 hours a week,2,3,3,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
755,20 hours or more a week,7,4,7,7,3,7,2,7,7,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0
756,3-5 hours a week,4,4,4,4,7,6,5,5,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
757,Less than 3 hours a week,6,3,7,5,1,1,1,7,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
761,Less than 3 hours a week,7,1,3,2,5,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
762,10-14 hours a week,7,5,6,4,1,1,1,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
764,6-9 hours a week,7,3,4,2,1,3,1,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
771,20 hours or more a week,6,5,7,5,3,4,4,5,4,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0
775,6-9 hours a week,6,5,4,2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
