,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
158,Less than 3 hours a week,6,6,7,4,1,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,Less than 3 hours a week,5,3,4,2,1,1,3,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
162,6-9 hours a week,7,4,4,4,3,1,1,5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0
163,20 hours or more a week,5,3,4,3,1,4,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166,3-5 hours a week,7,5,5,3,1,2,1,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
167,6-9 hours a week,7,1,6,1,1,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
169,6-9 hours a week,6,5,7,4,2,1,4,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
170,Less than 3 hours a week,7,6,3,3,5,2,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
172,6-9 hours a week,6,1,6,4,1,5,1,6,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
175,10-14 hours a week,6,5,7,6,5,5,5,5,6,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
176,Less than 3 hours a week,7,2,2,2,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
177,3-5 hours a week,7,3,4,1,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
179,Less than 3 hours a week,5,1,3,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
180,10-14 hours a week,7,2,7,3,1,5,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
181,6-9 hours a week,7,5,7,5,3,3,1,5,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
183,6-9 hours a week,6,4,7,3,1,6,1,6,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
184,Less than 3 hours a week,7,3,3,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
185,Less than 3 hours a week,7,3,4,3,1,1,1,3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0
186,Less than 3 hours a week,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
189,3-5 hours a week,4,4,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
191,Less than 3 hours a week,4,4,4,4,3,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
194,Less than 3 hours a week,3,5,1,5,1,4,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
195,Less than 3 hours a week,4,2,4,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
196,3-5 hours a week,7,1,5,1,1,1,1,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
197,3-5 hours a week,6,2,5,2,4,1,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
200,Less than 3 hours a week,7,3,2,4,1,6,1,3,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
202,20 hours or more a week,7,5,6,3,2,2,2,4,5,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
204,Less than 3 hours a week,5,3,5,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
205,3-5 hours a week,5,4,5,4,3,3,1,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
207,3-5 hours a week,5,1,3,1,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
214,6-9 hours a week,7,2,6,6,1,5,1,1,4,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
216,3-5 hours a week,7,4,6,7,3,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
217,15-19 hours a week,3,4,6,3,6,1,3,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
219,10-14 hours a week,7,1,7,2,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
222,Less than 3 hours a week,5,1,6,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
226,3-5 hours a week,6,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228,Less than 3 hours a week,7,4,4,4,4,2,2,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
230,3-5 hours a week,7,1,7,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
232,Less than 3 hours a week,3,6,4,5,2,4,2,3,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
235,6-9 hours a week,7,3,6,2,1,2,2,5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
240,15-19 hours a week,7,3,7,3,1,1,1,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
241,10-14 hours a week,7,4,6,4,1,1,1,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
242,3-5 hours a week,6,5,7,2,1,6,3,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
243,Less than 3 hours a week,4,4,3,3,2,1,3,4,3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
245,3-5 hours a week,7,4,3,1,5,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0
246,Less than 3 hours a week,5,5,4,6,3,2,3,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
247,6-9 hours a week,5,4,4,3,1,1,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
248,3-5 hours a week,5,3,4,3,2,3,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
249,10-14 hours a week,6,6,6,6,4,5,2,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250,Less than 3 hours a week,7,1,3,1,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
253,15-19 hours a week,6,4,6,3,3,3,1,1,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
254,10-14 hours a week,7,5,7,6,1,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
255,3-5 hours a week,6,2,6,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
256,10-14 hours a week,7,3,6,2,1,5,1,4,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
257,Less than 3 hours a week,4,4,4,4,4,4,4,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
262,Less than 3 hours a week,6,2,6,2,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
265,6-9 hours a week,7,4,6,4,4,3,4,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
266,Less than 3 hours a week,5,2,5,3,5,3,1,3,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
267,10-14 hours a week,4,3,4,3,2,3,1,4,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0
268,20 hours or more a week,7,1,7,4,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
269,Less than 3 hours a week,5,3,4,4,6,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
271,Less than 3 hours a week,4,3,4,4,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
